code type;désignation de catégorie
10;Livres
40;jeux vidéos
50;accessoires jeux vidéos
60;consoles
1140;figurines pop, plastiques, de collection
1160;cartes à collectionner
1180;figurines à peindre ,jeux de rôles
1280;Jouets
1281;jouets enfant bas âge
1300;objets et accessoires télécommandées
1301;articles enfants
1302;accessoires divers
1320;puériculture
1560;aménagement intérieur, ameublement
1920;textiles maison, décoration
1940;épicerie
2060;décoration de noël
2220;articles animaux domestiques
2280;journaux, magazines, anciens
2403;Livres informatifs, culturels, éducatifs
2462;jeux vidéos et consoles
2522;papeterie
2582;mobilier extérieur, jardin
2583;piscine
2585;outillage
2705;Livres, séries, tomes
2905;jeux téléchargement
